"Año";"Periodo";"Afiliados a la Seguridad Social"
"2020";"Día 15 de octubre";"636.739"
"2020";"Día 16 de octubre";"696.825"
"2020";"Día 17 de octubre";"690.366"
"2020";"Día 18 de octubre";"691.982"
"2020";"Día 19 de octubre";"705.812"
"2020";"Día 20 de octubre";"698.073"
"2020";"Día 21 de octubre";"698.509"
"2020";"Día 22 de octubre";"705.255"
"2020";"Día 23 de octubre";"711.992"
"2020";"Día 24 de octubre";"703.254"
"2020";"Día 25 de octubre";"704.611"
"2020";"Día 26 de octubre";"719.058"
"2020";"Día 27 de octubre";"716.168"
"2020";"Día 28 de octubre";"716.283"
"2020";"Día 29 de octubre";"717.374"
"2020";"Día 30 de octubre";"736.924"
"2020";"Día 31 de octubre";"728.321"
"2020";"Día 1 de noviembre";"754.694"
"2020";"Día 2 de noviembre";"767.068"
"2020";"Día 3 de noviembre";"770.357"
"2020";"Día 4 de noviembre";"785.691"
"2020";"Día 5 de noviembre";"790.182"
"2020";"Día 6 de noviembre";"821.405"
"2020";"Día 7 de noviembre";"852.401"
"2020";"Día 8 de noviembre";"849.802"
"2020";"Día 9 de noviembre";"865.381"
"2020";"Día 10 de noviembre";"897.511"
"2020";"Día 11 de noviembre";"900.019"
"2020";"Día 12 de noviembre";"904.053"
"2020";"Día 13 de noviembre";"911.323"
"2020";"Día 14 de noviembre";"903.954"
"2020";"Día 15 de noviembre";"905.151"
"2020";"Día 16 de noviembre";"915.403"
"2020";"Día 17 de noviembre";"908.332"
"2020";"Día 18 de noviembre";"908.612"
"2020";"Día 19 de noviembre";"909.995"
"2020";"Día 20 de noviembre";"918.627"
"2020";"Día 21 de noviembre";"904.780"
"2020";"Día 22 de noviembre";"904.797"
"2020";"Día 23 de noviembre";"888.466"
"2020";"Día 24 de noviembre";"872.069"
"2020";"Día 25 de noviembre";"865.411"
"2020";"Día 26 de noviembre";"863.978"
"2020";"Día 27 de noviembre";"865.427"
"2020";"Día 28 de noviembre";"854.961"
"2020";"Día 29 de noviembre";"853.123"
"2020";"Día 30 de noviembre";"850.950"
"2020";"Día 1 de diciembre";"833.339"
"2020";"Día 2 de diciembre";"827.953"
"2020";"Día 3 de diciembre";"823.448"
"2020";"Día 4 de diciembre";"817.489"
"2020";"Día 5 de diciembre";"802.729"
"2020";"Día 6 de diciembre";"802.049"
"2020";"Día 7 de diciembre";"801.892"
"2020";"Día 8 de diciembre";"795.189"
"2020";"Día 9 de diciembre";"792.260"
"2020";"Día 10 de diciembre";"787.821"
"2020";"Día 11 de diciembre";"781.393"
"2020";"Día 12 de diciembre";"757.779"
"2020";"Día 13 de diciembre";"755.023"
"2020";"Día 14 de diciembre";"734.951"
"2020";"Día 15 de diciembre";"726.153"
"2020";"Día 16 de diciembre";"721.976"
"2020";"Día 17 de diciembre";"723.769"
"2020";"Día 18 de diciembre";"719.711"
"2020";"Día 19 de diciembre";"711.666"
"2020";"Día 20 de diciembre";"711.624"
"2020";"Día 21 de diciembre";"722.923"
"2020";"Día 22 de diciembre";"722.695"
"2020";"Día 23 de diciembre";"719.346"
"2020";"Día 24 de diciembre";"704.986"
"2020";"Día 25 de diciembre";"704.058"
"2020";"Día 26 de diciembre";"705.812"
"2020";"Día 27 de diciembre";"704.766"
"2020";"Día 28 de diciembre";"708.335"
"2020";"Día 29 de diciembre";"708.801"
"2020";"Día 30 de diciembre";"708.005"
"2020";"Día 31 de diciembre";"702.808"
"2021";"2021";"700.345"
"2021";"Día 2 de enero";"699.038"
"2021";"Día 3 de enero";"699.575"
"2021";"Día 4 de enero";"712.227"
"2021";"Día 5 de enero";"711.898"
"2021";"Día 6 de enero";"707.018"
"2021";"Día 7 de enero";"743.112"
"2021";"Día 8 de enero";"748.546"
"2021";"Día 9 de enero";"747.834"
"2021";"Día 10 de enero";"750.124"
"2021";"Día 11 de enero";"781.672"
"2021";"Día 12 de enero";"783.548"
"2021";"Día 13 de enero";"799.731"
"2021";"Día 14 de enero";"806.074"
"2021";"Día 15 de enero";"814.456"
"2021";"Día 16 de enero";"813.881"
"2021";"Día 17 de enero";"813.871"
"2021";"Día 18 de enero";"836.609"
"2021";"Día 19 de enero";"842.006"
"2021";"Día 20 de enero";"839.716"
"2021";"Día 21 de enero";"879.745"
"2021";"Día 22 de enero";"891.312"
"2021";"Día 23 de enero";"890.845"
"2021";"Día 24 de enero";"891.077"
"2021";"Día 25 de enero";"905.151"
"2021";"Día 26 de enero";"906.782"
"2021";"Día 27 de enero";"924.575"
"2021";"Día 28 de enero";"927.833"
"2021";"Día 29 de enero";"933.979"
"2021";"Día 30 de enero";"930.835"
"2021";"Día 31 de enero";"928.281"
"2021";"Día 1 de febrero";"962.628"
"2021";"Día 2 de febrero";"963.689"
"2021";"Día 3 de febrero";"972.932"
"2021";"Día 4 de febrero";"974.998"
"2021";"Día 5 de febrero";"978.966"
"2021";"Día 6 de febrero";"973.911"
"2021";"Día 7 de febrero";"970.753"
"2021";"Día 8 de febrero";"969.482"
"2021";"Día 9 de febrero";"962.006"
"2021";"Día 10 de febrero";"955.250"
"2021";"Día 11 de febrero";"953.567"
"2021";"Día 12 de febrero";"948.456"
"2021";"Día 13 de febrero";"927.826"
"2021";"Día 14 de febrero";"927.394"
"2021";"Día 15 de febrero";"928.020"
